Hand Direction_X,Hand Direction_Y,Hand Direction_Z,THUMB_X,THUMB_Y,THUMB_Z,INDEX_X,INDEX_Y,INDEX_Z,MIDDLE_X,MIDDLE_Y,MIDDLE_Z,RING_X,RING_Y,RING_Z,PINKY_X,PINKY_Y,PINKY_Z,RESULT
0.26203972,-0.77796286,-0.57105947,0.7773807,-0.6277037,-0.040832277,-0.016409451,-0.97090185,-0.23891498,-0.38420463,0.46532208,0.79740965,-0.2411775,0.5400227,0.8063553,-0.07013872,0.48219284,0.87325287,0
0.2617126,-0.7787781,-0.5700975,0.7762719,-0.62913394,-0.039905567,-0.017801864,-0.97194934,-0.23451565,-0.38582134,0.4659654,0.79625255,-0.24246454,0.53921926,0.806507,-0.07091198,0.47799054,0.8754979,0
0.26063013,-0.77997375,-0.5689577,0.7752014,-0.63054353,-0.03844086,-0.019514611,-0.9724491,-0.23229705,-0.38673133,0.46766713,0.79481214,-0.24279107,0.5391918,0.8064271,-0.07147248,0.47518957,0.8769758,0
0.25920048,-0.7811391,-0.56801134,0.7752434,-0.630613,-0.03639928,-0.021620028,-0.9728261,-0.23052521,-0.38709703,0.47045913,0.7929843,-0.24248081,0.539218,0.80650294,-0.07141101,0.4725662,0.8783972,0
0.25732437,-0.78261155,-0.56683624,0.7758016,-0.6300384,-0.03440214,-0.02358894,-0.9731467,-0.22897394,-0.3869072,0.47284532,0.79165655,-0.24172725,0.53877556,0.80702466,-0.07074985,0.46915567,0.8802769,0
0.25589564,-0.7836757,-0.56601226,0.7771568,-0.6284609,-0.032622125,-0.025339495,-0.9737519,-0.22619721,-0.38668087,0.47447166,0.7907936,-0.24085173,0.53723055,0.8083154,-0.06950733,0.46414903,0.8830257,0
0.25481528,-0.7848742,-0.56483775,0.7776244,-0.627985,-0.03057836,-0.027026854,-0.97424906,-0.2238489,-0.38732076,0.47610936,0.7894951,-0.24178423,0.53624654,0.8086903,-0.070379,0.45983645,0.8852103,0
0.2534453,-0.78562343,-0.56441236,0.7787873,-0.62663746,-0.028561668,-0.029324051,-0.975044,-0.22006649,-0.3872014,0.47778526,0.78854066,-0.24162523,0.53498065,0.8095758,-0.069928296,0.45471954,0.8878852,0
0.25268677,-0.7865355,-0.56348145,0.779941,-0.62527776,-0.026827414,-0.030532103,-0.97659856,-0.21289206,-0.3868788,0.4791783,0.78785336,-0.2413915,0.53377295,0.8104422,-0.0687646,0.44918475,0.8907887,0
0.25235218,-0.7872791,-0.5625922,0.78098696,-0.62405473,-0.024799693,-0.03182635,-0.97829676,-0.20474999,-0.38666546,0.47972667,0.78762436,-0.24160574,0.53258115,0.8111621,-0.067455545,0.44377974,0.8935935,0
