Hand Direction_X,Hand Direction_Y,Hand Direction_Z,THUMB_X,THUMB_Y,THUMB_Z,INDEX_X,INDEX_Y,INDEX_Z,MIDDLE_X,MIDDLE_Y,MIDDLE_Z,RING_X,RING_Y,RING_Z,PINKY_X,PINKY_Y,PINKY_Z,RESULT
0.039905492,-0.90261,-0.42860562,0.13670614,-0.9902593,-0.026419777,-0.32780477,0.100666024,0.939367,-0.32780477,0.100666024,0.939367,-0.32780477,0.100666024,0.939367,-0.32780477,0.100666024,0.939367,0
0.038847186,-0.9029678,-0.42794862,0.1343021,-0.9905767,-0.026846817,-0.32586098,0.12669633,0.9368899,-0.32586098,0.12669633,0.9368899,-0.32586098,0.12669633,0.9368899,-0.32586098,0.12669633,0.9368899,0
0.037883528,-0.9032643,-0.42740896,0.13185118,-0.99089146,-0.02737491,-0.3232169,0.17366798,0.9302528,-0.3232169,0.17366798,0.9302528,-0.3232169,0.17366798,0.9302528,-0.3232169,0.17366798,0.9302528,0
0.036962204,-0.9037491,-0.4264638,0.1297264,-0.991163,-0.027693449,-0.31685206,0.26147705,0.91172063,-0.31685206,0.26147705,0.91172063,-0.31685206,0.26147705,0.91172063,-0.31685206,0.26147705,0.91172063,0
0.036584288,-0.903249,-0.4275544,0.12841778,-0.9912871,-0.029304381,-0.32153088,0.1920332,0.92722225,-0.32153088,0.1920332,0.92722225,-0.32153088,0.1920332,0.92722225,-0.32153088,0.1920332,0.92722225,0
0.03654877,-0.9024039,-0.4293383,0.1283957,-0.99123,-0.03126719,-0.32393736,0.09755242,0.9410357,-0.32393736,0.09755242,0.9410357,-0.32393736,0.09755242,0.9410357,-0.32393736,0.09755242,0.9410357,0
0.036100212,-0.9014487,-0.431378,0.12861902,-0.9911196,-0.03375001,-0.3225551,0.041667245,0.9456332,-0.3225551,0.041667245,0.9456332,-0.3225551,0.041667245,0.9456332,-0.3225551,0.041667245,0.9456332,0
0.035246428,-0.90074486,-0.4329162,0.1293754,-0.99094886,-0.035809476,-0.31910062,0.034984972,0.9470749,-0.31910062,0.034984972,0.9470749,-0.31910062,0.034984972,0.9470749,-0.31910062,0.034984972,0.9470749,0
0.034366265,-0.90021116,-0.43409538,0.13059203,-0.99072325,-0.037591524,-0.3160894,0.04547957,0.9476387,-0.3160894,0.04547957,0.9476387,-0.3160894,0.04547957,0.9476387,-0.3160894,0.04547957,0.9476387,0
0.033057615,-0.89998084,-0.4346742,0.13151944,-0.9905543,-0.03879252,-0.3109571,0.06367327,0.9482887,-0.3109571,0.06367327,0.9482887,-0.3109571,0.06367327,0.9482887,-0.3109571,0.06367327,0.9482887,0
0.031683985,-0.9000365,-0.43466127,0.13258658,-0.99039036,-0.03934158,-0.30528486,0.08303535,0.9486339,-0.30528486,0.08303535,0.9486339,-0.30528486,0.08303535,0.9486339,-0.30528486,0.08303535,0.9486339,0
0.030377556,-0.9002669,-0.43427727,0.1333002,-0.99028474,-0.039587464,-0.3008144,0.10280848,0.94812506,-0.3008144,0.10280848,0.94812506,-0.3008144,0.10280848,0.94812506,-0.3008144,0.10280848,0.94812506,0
0.029429168,-0.90062475,-0.4336,0.13387254,-0.99021834,-0.0393167,-0.2981933,0.12030678,0.94689333,-0.2981933,0.12030678,0.94689333,-0.2981933,0.12030678,0.94689333,-0.2981933,0.12030678,0.94689333,0
0.028720995,-0.9012113,-0.43242717,0.13391694,-0.9902393,-0.038630184,-0.29580042,0.13261227,0.94600004,-0.29580042,0.13261227,0.94600004,-0.29580042,0.13261227,0.94600004,-0.29580042,0.13261227,0.94600004,0
0.028477289,-0.9016112,-0.4316089,0.13387473,-0.99025685,-0.038326513,-0.29463387,0.13792922,0.9456037,-0.29463387,0.13792922,0.9456037,-0.29463387,0.13792922,0.9456037,-0.29463387,0.13792922,0.9456037,0
0.028165393,-0.90181714,-0.43119895,0.13375165,-0.99026847,-0.038456656,-0.29358685,0.14250238,0.9452512,-0.29358685,0.14250238,0.9452512,-0.29358685,0.14250238,0.9452512,-0.29358685,0.14250238,0.9452512,0
0.028046494,-0.90218425,-0.4304381,0.13394769,-0.99025863,-0.038025152,-0.29232144,0.14300045,0.9455681,-0.29232144,0.14300045,0.9455681,-0.29232144,0.14300045,0.9455681,-0.29232144,0.14300045,0.9455681,0
0.028354699,-0.90251523,-0.4297234,0.13431452,-0.99022716,-0.03754628,-0.29192752,0.14143932,0.9459245,-0.29192752,0.14143932,0.9459245,-0.29192752,0.14143932,0.9459245,-0.29192752,0.14143932,0.9459245,0
0.028206704,-0.9033937,-0.42788345,0.13416508,-0.9903092,-0.035880633,-0.2885427,0.1492295,0.9457662,-0.2885427,0.1492295,0.9457662,-0.2885427,0.1492295,0.9457662,-0.2885427,0.1492295,0.9457662,0
0.027890969,-0.90469056,-0.42515537,0.13386324,-0.9904219,-0.033838842,-0.2802477,0.23752023,0.93007815,-0.2802477,0.23752023,0.93007815,-0.2802477,0.23752023,0.93007815,-0.2802477,0.23752023,0.93007815,0
0.027540358,-0.9060393,-0.42229655,0.13349445,-0.9905177,-0.032464236,-0.25913557,0.4426008,0.85845983,-0.25913557,0.4426008,0.85845983,-0.25913557,0.4426008,0.85845983,-0.25913557,0.4426008,0.85845983,0
